users,concurrency,variant,complexity,p50_duration
1000,1,neo4j_normal,complex,9.835
1000,1,neo4j_normal,create,13.48
1000,1,neo4j_normal,delete,12.355
1000,1,neo4j_normal,easy,23.94
1000,1,neo4j_normal,medium,9.75
1000,1,neo4j_normal,update,11.64
1000,1,neo4j_normal,very_complex,7.635
1000,1,neo4j_optimized,complex,9.81
1000,1,neo4j_optimized,create,13.405000000000001
1000,1,neo4j_optimized,delete,12.36
1000,1,neo4j_optimized,easy,23.79
1000,1,neo4j_optimized,medium,9.940000000000001
1000,1,neo4j_optimized,update,12.015
1000,1,neo4j_optimized,very_complex,9.92
1000,1,postgres_normal,complex,1.97
1000,1,postgres_normal,create,1.66
1000,1,postgres_normal,delete,1.68
1000,1,postgres_normal,easy,1.775
1000,1,postgres_normal,medium,3.34
1000,1,postgres_normal,update,1.64
1000,1,postgres_normal,very_complex,3.17
1000,1,postgres_optimized,complex,2.085
1000,1,postgres_optimized,create,3.6399999999999997
1000,1,postgres_optimized,delete,3.52
1000,1,postgres_optimized,easy,1.77
1000,1,postgres_optimized,medium,3.33
1000,1,postgres_optimized,update,3.52
1000,1,postgres_optimized,very_complex,2.6100000000000003
1000,3,neo4j_normal,complex,21.0
1000,3,neo4j_normal,create,12.545
1000,3,neo4j_normal,delete,12.455
1000,3,neo4j_normal,easy,81.19
1000,3,neo4j_normal,medium,21.835
1000,3,neo4j_normal,update,13.114999999999998
1000,3,neo4j_normal,very_complex,7.25
1000,3,neo4j_optimized,complex,21.185
1000,3,neo4j_optimized,create,12.585
1000,3,neo4j_optimized,delete,12.7
1000,3,neo4j_optimized,easy,80.03999999999999
1000,3,neo4j_optimized,medium,22.240000000000002
1000,3,neo4j_optimized,update,13.37
1000,3,neo4j_optimized,very_complex,8.82
1000,3,postgres_normal,complex,26.14
1000,3,postgres_normal,create,24.015
1000,3,postgres_normal,delete,23.81
1000,3,postgres_normal,easy,24.03
1000,3,postgres_normal,medium,26.035
1000,3,postgres_normal,update,23.755000000000003
1000,3,postgres_normal,very_complex,26.76
1000,3,postgres_optimized,complex,25.285
1000,3,postgres_optimized,create,26.04
1000,3,postgres_optimized,delete,24.15
1000,3,postgres_optimized,easy,24.135
1000,3,postgres_optimized,medium,26.314999999999998
1000,3,postgres_optimized,update,24.615000000000002
1000,3,postgres_optimized,very_complex,26.380000000000003
1000,5,neo4j_normal,complex,33.465
1000,5,neo4j_normal,create,12.184999999999999
1000,5,neo4j_normal,delete,12.19
1000,5,neo4j_normal,easy,133.075
1000,5,neo4j_normal,medium,34.69
1000,5,neo4j_normal,update,16.38
1000,5,neo4j_normal,very_complex,8.145
1000,5,neo4j_optimized,complex,33.575
1000,5,neo4j_optimized,create,12.27
1000,5,neo4j_optimized,delete,12.235
1000,5,neo4j_optimized,easy,132.78
1000,5,neo4j_optimized,medium,34.91
1000,5,neo4j_optimized,update,16.535
1000,5,neo4j_optimized,very_complex,9.47
1000,5,postgres_normal,complex,46.655
1000,5,postgres_normal,create,45.025000000000006
1000,5,postgres_normal,delete,45.035
1000,5,postgres_normal,easy,45.28
1000,5,postgres_normal,medium,48.335
1000,5,postgres_normal,update,44.625
1000,5,postgres_normal,very_complex,47.875
1000,5,postgres_optimized,complex,46.7
1000,5,postgres_optimized,create,45.504999999999995
1000,5,postgres_optimized,delete,44.93
1000,5,postgres_optimized,easy,45.6
1000,5,postgres_optimized,medium,48.215
1000,5,postgres_optimized,update,45.105000000000004
1000,5,postgres_optimized,very_complex,47.76
1000,10,neo4j_normal,complex,62.54
1000,10,neo4j_normal,create,12.6
1000,10,neo4j_normal,delete,12.6
1000,10,neo4j_normal,easy,264.82
1000,10,neo4j_normal,medium,69.46000000000001
1000,10,neo4j_normal,update,23.1
1000,10,neo4j_normal,very_complex,11.27
1000,10,neo4j_optimized,complex,63.505
1000,10,neo4j_optimized,create,12.82
1000,10,neo4j_optimized,delete,12.754999999999999
1000,10,neo4j_optimized,easy,266.275
1000,10,neo4j_optimized,medium,69.37
1000,10,neo4j_optimized,update,23.155
1000,10,neo4j_optimized,very_complex,12.05
1000,10,postgres_normal,complex,100.095
1000,10,postgres_normal,create,97.595
1000,10,postgres_normal,delete,96.505
1000,10,postgres_normal,easy,97.225
1000,10,postgres_normal,medium,102.03
1000,10,postgres_normal,update,97.245
1000,10,postgres_normal,very_complex,102.65
1000,10,postgres_optimized,complex,99.58
1000,10,postgres_optimized,create,98.35
1000,10,postgres_optimized,delete,96.88
1000,10,postgres_optimized,easy,98.13
1000,10,postgres_optimized,medium,103.08000000000001
1000,10,postgres_optimized,update,97.41
1000,10,postgres_optimized,very_complex,102.555
10000,1,neo4j_normal,complex,28.47
10000,1,neo4j_normal,create,15.815000000000001
10000,1,neo4j_normal,delete,14.465
10000,1,neo4j_normal,easy,25.505000000000003
10000,1,neo4j_normal,medium,17.87
10000,1,neo4j_normal,update,12.21
10000,1,neo4j_normal,very_complex,45.525
10000,1,neo4j_optimized,complex,28.89
10000,1,neo4j_optimized,create,16.84
10000,1,neo4j_optimized,delete,15.829999999999998
10000,1,neo4j_optimized,easy,25.494999999999997
10000,1,neo4j_optimized,medium,17.585
10000,1,neo4j_optimized,update,13.594999999999999
10000,1,neo4j_optimized,very_complex,57.879999999999995
10000,1,postgres_normal,complex,9.37
10000,1,postgres_normal,create,2.185
10000,1,postgres_normal,delete,1.8450000000000002
10000,1,postgres_normal,easy,1.76
10000,1,postgres_normal,medium,3.3
10000,1,postgres_normal,update,2.08
10000,1,postgres_normal,very_complex,23.805
10000,1,postgres_optimized,complex,2.15
10000,1,postgres_optimized,create,3.5
10000,1,postgres_optimized,delete,3.475
10000,1,postgres_optimized,easy,1.75
10000,1,postgres_optimized,medium,3.3
10000,1,postgres_optimized,update,3.495
10000,1,postgres_optimized,very_complex,20.25
10000,3,neo4j_normal,complex,49.565
10000,3,neo4j_normal,create,15.26
10000,3,neo4j_normal,delete,14.64
10000,3,neo4j_normal,easy,81.85499999999999
10000,3,neo4j_normal,medium,22.915
10000,3,neo4j_normal,update,13.585
10000,3,neo4j_normal,very_complex,48.92
10000,3,neo4j_optimized,complex,49.224999999999994
10000,3,neo4j_optimized,create,17.395
10000,3,neo4j_optimized,delete,14.95
10000,3,neo4j_optimized,easy,81.705
10000,3,neo4j_optimized,medium,24.32
10000,3,neo4j_optimized,update,14.085
10000,3,neo4j_optimized,very_complex,57.735
10000,3,postgres_normal,complex,40.955
10000,3,postgres_normal,create,24.65
10000,3,postgres_normal,delete,24.105
10000,3,postgres_normal,easy,24.365000000000002
10000,3,postgres_normal,medium,26.200000000000003
10000,3,postgres_normal,update,24.27
10000,3,postgres_normal,very_complex,51.525
10000,3,postgres_optimized,complex,25.735
10000,3,postgres_optimized,create,25.92
10000,3,postgres_optimized,delete,24.57
10000,3,postgres_optimized,easy,24.270000000000003
10000,3,postgres_optimized,medium,26.700000000000003
10000,3,postgres_optimized,update,24.94
10000,3,postgres_optimized,very_complex,46.0
10000,5,neo4j_normal,complex,71.455
10000,5,neo4j_normal,create,14.7
10000,5,neo4j_normal,delete,14.4
10000,5,neo4j_normal,easy,135.10000000000002
10000,5,neo4j_normal,medium,36.31
10000,5,neo4j_normal,update,16.665
10000,5,neo4j_normal,very_complex,52.085
10000,5,neo4j_optimized,complex,70.725
10000,5,neo4j_optimized,create,15.780000000000001
10000,5,neo4j_optimized,delete,14.725
10000,5,neo4j_optimized,easy,134.845
10000,5,neo4j_optimized,medium,37.415
10000,5,neo4j_optimized,update,16.744999999999997
10000,5,neo4j_optimized,very_complex,61.185
10000,5,postgres_normal,complex,60.91
10000,5,postgres_normal,create,45.435
10000,5,postgres_normal,delete,45.17
10000,5,postgres_normal,easy,45.980000000000004
10000,5,postgres_normal,medium,48.55
10000,5,postgres_normal,update,45.015
10000,5,postgres_normal,very_complex,75.13
10000,5,postgres_optimized,complex,47.155
10000,5,postgres_optimized,create,45.935
10000,5,postgres_optimized,delete,45.47
10000,5,postgres_optimized,easy,45.94
10000,5,postgres_optimized,medium,49.004999999999995
10000,5,postgres_optimized,update,45.53
10000,5,postgres_optimized,very_complex,68.525
10000,10,neo4j_normal,complex,129.56
10000,10,neo4j_normal,create,15.605
10000,10,neo4j_normal,delete,15.46
10000,10,neo4j_normal,easy,270.985
10000,10,neo4j_normal,medium,69.375
10000,10,neo4j_normal,update,23.200000000000003
10000,10,neo4j_normal,very_complex,58.935
10000,10,neo4j_optimized,complex,124.755
10000,10,neo4j_optimized,create,17.505
10000,10,neo4j_optimized,delete,16.465
10000,10,neo4j_optimized,easy,269.485
10000,10,neo4j_optimized,medium,70.65
