users,concurrency,variant,query_no,p50_duration
1000,1,neo4j_normal,1,1404.7849999999999
1000,1,neo4j_normal,2,9.57
1000,1,neo4j_normal,3,23.94
1000,1,neo4j_normal,4,539.935
1000,1,neo4j_normal,5,9.645
1000,1,neo4j_normal,6,9.18
1000,1,neo4j_normal,7,31.83
1000,1,neo4j_normal,8,5.09
1000,1,neo4j_normal,9,9.77
1000,1,neo4j_normal,10,7.495
1000,1,neo4j_normal,11,24.745
1000,1,neo4j_normal,12,7.220000000000001
1000,1,neo4j_normal,13,13.55
1000,1,neo4j_normal,14,13.370000000000001
1000,1,neo4j_normal,15,13.05
1000,1,neo4j_normal,16,14.38
1000,1,neo4j_normal,17,404.44500000000005
1000,1,neo4j_normal,18,2.98
1000,1,neo4j_normal,19,11.68
1000,1,neo4j_normal,20,11.405000000000001
1000,1,neo4j_normal,21,12.07
1000,1,neo4j_normal,22,12.17
1000,1,neo4j_normal,23,12.21
1000,1,neo4j_normal,24,12.8
1000,1,neo4j_optimized,1,1388.24
1000,1,neo4j_optimized,2,9.42
1000,1,neo4j_optimized,3,23.79
1000,1,neo4j_optimized,4,539.98
1000,1,neo4j_optimized,5,9.475
1000,1,neo4j_optimized,6,9.614999999999998
1000,1,neo4j_optimized,7,32.945
1000,1,neo4j_optimized,8,5.105
1000,1,neo4j_optimized,9,9.8
1000,1,neo4j_optimized,10,7.385
1000,1,neo4j_optimized,11,20.845
1000,1,neo4j_optimized,12,9.815000000000001
1000,1,neo4j_optimized,13,13.440000000000001
1000,1,neo4j_optimized,14,13.305
1000,1,neo4j_optimized,15,13.195
1000,1,neo4j_optimized,16,16.275
1000,1,neo4j_optimized,17,403.655
1000,1,neo4j_optimized,18,3.09
1000,1,neo4j_optimized,19,12.16
1000,1,neo4j_optimized,20,11.55
1000,1,neo4j_optimized,21,12.245000000000001
1000,1,neo4j_optimized,22,11.83
1000,1,neo4j_optimized,23,12.469999999999999
1000,1,neo4j_optimized,24,14.03
1000,1,postgres_normal,1,19.735
1000,1,postgres_normal,2,0.96
1000,1,postgres_normal,3,1.775
1000,1,postgres_normal,4,3.34
1000,1,postgres_normal,5,17.11
1000,1,postgres_normal,6,1.01
1000,1,postgres_normal,7,4.0600000000000005
1000,1,postgres_normal,8,1.97
1000,1,postgres_normal,9,1.505
1000,1,postgres_normal,10,3.09
1000,1,postgres_normal,11,4.65
1000,1,postgres_normal,12,3.13
1000,1,postgres_normal,13,1.685
1000,1,postgres_normal,14,1.6150000000000002
1000,1,postgres_normal,15,1.68
1000,1,postgres_normal,16,1.67
1000,1,postgres_normal,17,1.62
1000,1,postgres_normal,18,1.6549999999999998
1000,1,postgres_normal,19,1.64
1000,1,postgres_normal,20,1.6549999999999998
1000,1,postgres_normal,21,1.66
1000,1,postgres_normal,22,1.71
1000,1,postgres_normal,23,1.6749999999999998
1000,1,postgres_normal,24,1.67
1000,1,postgres_optimized,1,19.72
1000,1,postgres_optimized,2,0.95
1000,1,postgres_optimized,3,1.77
1000,1,postgres_optimized,4,3.33
1000,1,postgres_optimized,5,18.18
1000,1,postgres_optimized,6,1.0
1000,1,postgres_optimized,7,2.145
1000,1,postgres_optimized,8,2.085
1000,1,postgres_optimized,9,1.545
1000,1,postgres_optimized,10,2.53
1000,1,postgres_optimized,11,4.575
1000,1,postgres_optimized,12,2.52
1000,1,postgres_optimized,13,3.645
1000,1,postgres_optimized,14,3.6399999999999997
1000,1,postgres_optimized,15,3.61
1000,1,postgres_optimized,16,3.7300000000000004
1000,1,postgres_optimized,17,3.5549999999999997
1000,1,postgres_optimized,18,3.53
1000,1,postgres_optimized,19,3.5
1000,1,postgres_optimized,20,3.505
1000,1,postgres_optimized,21,3.51
1000,1,postgres_optimized,22,3.565
1000,1,postgres_optimized,23,3.5149999999999997
1000,1,postgres_optimized,24,3.525
1000,3,neo4j_normal,1,3274.94
1000,3,neo4j_normal,2,23.395000000000003
