users,concurrency,complexity,duration_ms_postgres_normal,duration_ms_postgres_optimized,duration_ms_neo4j_normal,duration_ms_neo4j_optimized,server_ms_postgres_normal,server_ms_postgres_optimized,server_ms_neo4j_normal,server_ms_neo4j_optimized,avg_cpu_postgres_normal,avg_cpu_postgres_optimized,avg_cpu_neo4j_normal,avg_cpu_neo4j_optimized,avg_mem_postgres_normal,avg_mem_postgres_optimized,avg_mem_neo4j_normal,avg_mem_neo4j_optimized,disk_mb_postgres_normal,disk_mb_postgres_optimized,disk_mb_neo4j_normal,disk_mb_neo4j_optimized
1000,1,easy,12.5,12.6,674.6,653.1,1.4,1.5,191.9,171.4,149.9,198.8,18.3,18.0,2462.8,6369.6,4641.6,4696.8,443.0,443.0,690.9,690.9
1000,1,medium,7.3,7.6,193.7,218.1,5.6,5.9,158.2,183.0,157.1,133.2,29.9,36.2,2468.7,6376.4,7300.6,7284.3,443.0,443.0,690.9,690.9
1000,1,complex,2.5,1.9,16.6,16.5,1.6,0.8,3.2,3.1,128.4,142.8,41.5,39.5,2477.1,6377.4,7322.0,7306.6,443.0,443.0,690.9,690.9
1000,1,very_complex,3.6,3.2,13.8,13.5,3.3,2.6,9.4,9.1,81.9,93.8,44.7,36.3,2477.5,6378.3,7334.9,7316.6,443.0,443.0,690.9,690.9
1000,1,create,2.9,4.2,13.5,13.5,0.2,0.1,1.6,1.9,132.1,76.6,31.7,30.4,2327.7,5748.8,7352.5,7333.3,443.0,443.0,690.9,690.9
1000,1,update,2.7,3.8,122.0,120.0,0.1,0.1,112.8,110.9,132.3,88.0,42.6,41.6,2150.8,5393.8,7356.2,7340.7,443.0,443.0,690.9,690.9
1000,1,delete,2.5,3.7,11.7,11.4,0.0,0.0,0.9,1.1,133.7,86.0,33.1,35.0,2175.1,5444.1,7361.1,7343.7,443.0,443.0,690.9,690.9
1000,3,easy,44.7,44.4,1940.0,1903.1,1.4,1.4,194.6,164.4,14.0,14.3,8.2,8.6,2195.7,5488.2,7395.2,7372.2,443.0,443.0,690.9,690.9
1000,3,medium,34.2,36.6,341.9,320.1,5.6,5.9,239.4,217.8,17.2,17.7,49.1,47.6,2206.7,5504.0,7426.9,7424.7,443.0,443.0,690.9,690.9
1000,3,complex,26.5,25.5,42.6,42.8,1.6,0.8,3.2,4.1,16.2,17.0,25.5,26.4,2146.5,5398.5,7430.3,7433.1,443.0,443.0,690.9,690.9
1000,3,very_complex,27.3,27.0,13.9,13.7,3.3,2.6,9.0,8.8,16.5,16.8,50.0,49.2,2164.2,5454.3,7434.0,7434.4,443.0,443.0,690.9,690.9
1000,3,create,24.2,25.9,12.1,12.2,0.1,0.1,1.0,1.9,15.4,15.1,37.5,37.4,2169.0,5482.9,7435.2,7435.5,443.0,443.0,690.9,690.9
1000,3,update,24.0,25.0,138.2,115.7,0.1,0.1,130.4,107.8,15.3,15.2,48.8,48.2,2169.2,5489.0,7436.0,7436.9,443.0,443.0,690.9,690.9
1000,3,delete,24.0,24.7,11.6,11.9,0.0,0.1,5.7,6.0,15.4,15.5,34.4,36.2,2169.3,5492.9,7436.8,7438.7,443.0,443.0,690.9,690.9
1000,5,easy,75.2,75.1,3140.8,3139.2,1.4,1.4,155.5,158.9,10.3,10.6,5.5,5.7,2168.8,5509.1,7461.5,7459.2,443.0,443.0,690.9,690.9
1000,5,medium,55.3,58.3,441.1,453.1,5.6,5.9,267.3,280.8,15.0,15.9,47.3,48.8,2161.1,5504.4,7487.8,7483.9,443.0,443.0,690.9,690.9
1000,5,complex,47.6,47.1,68.9,70.3,1.5,0.7,3.5,5.4,11.9,11.7,24.0,25.2,2135.5,5445.1,7489.6,7487.1,443.0,443.0,690.9,690.9
1000,5,very_complex,48.5,48.4,15.9,15.1,3.3,2.6,8.9,8.2,12.5,12.6,59.1,57.9,2135.9,5445.8,7491.4,7488.2,443.0,443.0,690.9,690.9
1000,5,create,45.5,46.0,11.8,12.1,0.1,0.1,0.9,1.7,10.6,10.8,40.6,41.1,2136.2,5452.4,7491.8,7489.4,443.0,443.0,690.9,690.9
1000,5,update,44.6,45.6,151.8,146.3,0.1,0.1,139.6,135.4,10.5,10.5,48.8,51.1,2136.3,5453.2,7491.8,7491.0,443.0,443.0,690.9,690.9
1000,5,delete,45.6,45.2,11.7,11.8,0.0,0.0,5.3,5.5,10.4,10.6,38.7,34.7,2136.4,5453.7,7492.3,7492.7,443.0,443.0,690.9,690.9
1000,10,easy,150.3,147.7,6317.7,6296.1,1.4,1.4,183.9,181.4,8.1,8.4,4.1,4.0,2133.9,5449.9,7536.7,7537.1,443.0,443.0,690.9,690.9
1000,10,medium,109.1,113.3,804.8,1076.5,5.6,5.8,445.8,721.0,13.6,15.3,48.7,53.4,2133.7,5449.6,7696.9,7664.8,443.0,443.0,690.9,690.9
1000,10,complex,101.5,100.0,132.2,136.9,1.4,0.6,3.6,3.9,8.9,8.6,17.3,18.9,2134.6,5449.6,7706.3,7674.1,443.0,443.0,690.9,690.9
1000,10,very_complex,103.5,103.0,23.2,21.2,3.3,2.7,10.7,9.7,9.8,9.8,66.1,66.1,2135.5,5450.9,7706.8,7673.3,443.0,443.0,690.9,690.9
1000,10,create,97.9,98.5,13.2,13.8,0.1,0.1,1.3,2.2,7.6,7.9,45.1,47.1,2135.8,5451.5,7711.4,7677.9,443.0,443.0,690.9,690.9
1000,10,update,97.5,97.7,142.4,138.4,0.1,0.1,126.3,123.3,7.4,7.6,47.0,47.1,2136.0,5458.1,7713.6,7678.6,443.0,443.0,690.9,690.9
1000,10,delete,94.6,95.0,11.8,12.1,0.0,0.0,4.5,5.1,7.5,7.7,35.8,40.7,2134.4,5487.3,7714.0,7679.0,443.0,443.0,690.9,690.9
10000,1,easy,12.3,12.4,657.7,652.7,1.4,1.4,178.8,170.9,151.3,149.4,18.1,18.3,2547.0,6523.7,4658.6,4704.9,443.0,443.0,690.9,690.9
10000,1,medium,30.6,8.4,202.8,203.0,35.8,6.9,169.4,167.9,109.8,105.0,24.3,23.9,2550.8,6526.4,7315.2,7300.3,443.0,443.0,690.9,690.9
10000,1,complex,13.6,4.4,37.1,41.7,14.3,3.2,20.8,25.4,44.3,113.5,17.7,17.9,2558.7,6528.6,7347.6,7335.4,443.0,443.0,690.9,690.9
10000,1,very_complex,27.8,26.5,95.5,83.2,34.4,31.4,90.8,78.6,18.2,19.6,13.6,13.6,2558.8,6047.0,7363.3,7347.2,443.0,443.0,690.9,690.9
10000,1,create,3.3,3.7,18.7,24.1,0.1,0.1,7.5,12.9,113.5,94.8,25.7,24.0,2383.2,5528.7,7379.2,7358.8,443.0,443.0,690.9,690.9
10000,1,update,3.0,3.6,109.2,119.6,0.1,0.1,100.5,110.6,119.7,96.4,49.9,34.2,2213.5,5590.5,7393.3,7375.0,443.0,443.0,690.9,690.9
10000,1,delete,2.8,3.1,14.5,21.6,0.0,0.0,4.0,10.8,120.6,107.8,27.6,23.9,2242.0,5133.8,7399.0,7380.0,443.0,443.0,690.9,690.9
10000,3,easy,45.0,44.7,1908.0,1896.5,1.4,1.4,170.3,149.4,13.9,14.4,8.3,8.4,2265.8,4784.1,7429.5,7411.0,443.0,443.0,690.9,690.9
10000,3,medium,74.4,33.5,320.4,354.2,35.9,6.8,218.3,251.2,36.3,21.1,29.4,31.6,2281.8,4764.3,7463.3,7460.5,443.0,443.0,690.9,690.9
10000,3,complex,42.8,31.5,73.3,77.6,14.4,3.2,22.0,25.8,18.6,17.1,13.6,14.2,2288.5,4555.6,7467.7,7469.2,443.0,443.0,690.9,690.9
10000,3,very_complex,55.4,52.1,107.7,95.5,34.6,30.8,100.5,89.5,20.3,20.2,28.4,29.5,2288.6,4581.3,7471.6,7472.3,443.0,443.0,690.9,690.9
10000,3,create,24.8,26.4,18.6,27.7,0.1,0.1,8.1,17.8,15.3,14.8,34.1,32.3,2288.7,4612.4,7476.6,7473.4,443.0,443.0,690.9,690.9
10000,3,update,24.8,25.2,121.6,116.9,0.1,0.1,113.0,109.1,15.0,15.0,46.2,44.1,2224.4,4648.2,7479.0,7474.8,443.0,443.0,690.9,690.9
10000,3,delete,24.1,24.8,15.1,19.2,0.0,0.0,9.4,13.8,15.4,15.4,33.3,32.3,2205.2,4684.6,7479.8,7474.8,443.0,443.0,690.9,690.9
10000,5,easy,76.0,75.6,3140.4,3148.3,1.4,1.4,165.2,160.5,10.2,10.4,6.0,5.8,2203.1,4699.9,7497.8,7492.7,443.0,443.0,690.9,690.9
10000,5,medium,166.5,56.3,437.8,461.6,36.1,6.9,263.3,285.7,23.0,18.7,34.8,36.8,2200.0,4701.6,7528.3,7531.9,443.0,443.0,690.9,690.9
10000,5,complex,64.2,52.3,113.1,111.8,14.3,3.1,26.2,24.4,18.4,14.5,14.1,13.7,2204.5,4708.0,7530.3,7533.8,443.0,443.0,690.9,690.9
10000,5,very_complex,78.3,75.1,107.8,91.6,34.6,31.0,99.6,84.2,22.4,21.5,43.2,44.1,2204.6,4732.7,7530.4,7534.4,443.0,443.0,690.9,690.9
10000,5,create,45.7,46.3,17.3,23.4,0.1,0.1,7.3,13.3,10.6,10.7,44.0,39.1,2205.5,4775.0,7531.5,7536.7,443.0,443.0,690.9,690.9
10000,5,update,45.6,45.7,122.2,124.2,0.1,0.1,112.5,114.0,10.3,10.6,51.4,47.6,2207.2,4824.0,7532.3,7537.6,443.0,443.0,690.9,690.9
10000,5,delete,45.4,45.7,14.5,19.4,0.0,0.0,8.7,13.9,10.5,10.5,36.4,37.2,2216.6,4861.4,7533.0,7538.2,443.0,443.0,690.9,690.9
10000,10,easy,152.9,150.1,6299.5,6334.8,1.4,1.4,183.3,188.3,8.0,8.3,4.2,4.3,2207.5,4862.8,7577.0,7581.2,443.0,443.0,690.9,690.9
10000,10,medium,265.0,114.2,912.6,818.3,36.3,6.9,545.7,464.0,28.8,17.6,47.9,56.3,2207.8,4864.9,7791.8,7761.3,443.0,443.0,690.9,690.9
10000,10,complex,122.3,107.8,204.5,202.7,14.4,3.0,26.0,27.9,18.1,12.6,13.7,15.1,2215.4,4869.0,7809.5,7765.8,443.0,443.0,690.9,690.9
10000,10,very_complex,138.3,133.0,118.4,108.2,34.5,30.8,104.4,94.7,24.3,22.8,78.9,78.0,2215.8,4887.0,7809.5,7765.9,443.0,443.0,690.9,690.9
10000,10,create,98.7,99.4,18.3,25.7,0.1,0.1,7.1,14.5,7.6,7.8,53.3,58.8,2216.2,4921.1,7810.2,7768.3,443.0,443.0,690.9,690.9
10000,10,update,98.5,98.3,136.9,147.2,0.1,0.1,123.3,131.5,7.3,7.7,48.9,51.1,2216.4,4935.0,7811.7,7768.3,443.0,443.0,690.9,690.9
10000,10,delete,98.2,98.9,15.8,21.2,0.0,0.0,9.0,15.4,7.4,7.5,44.6,51.3,2216.9,4936.6,7812.3,7768.7,443.0,443.0,690.9,690.9
100000,1,easy,12.2,12.4,665.2,656.8,1.4,1.4,186.8,183.0,154.4,156.0,17.7,17.4,4030.6,9650.3,4680.9,4684.5,443.0,443.0,690.9,690.9
100000,1,medium,36.7,17.1,225.4,236.6,39.9,15.4,192.6,203.5,60.5,56.9,15.8,14.8,4032.1,9662.8,7355.7,7344.0,443.0,443.0,690.9,690.9
100000,1,complex,43.1,27.1,255.2,273.2,48.6,31.8,234.3,254.3,33.6,120.4,10.1,10.3,4051.2,9675.3,7478.6,7439.3,443.0,443.0,690.9,690.9
100000,1,very_complex,337.1,292.0,1002.2,877.3,410.6,346.9,996.7,871.9,9.9,9.4,12.7,12.3,4046.5,9670.1,7519.7,7465.7,443.0,443.0,690.9,690.9
100000,1,create,4.1,3.2,73.1,136.8,0.1,0.1,61.3,124.8,78.7,106.3,14.6,13.6,4045.6,9673.7,7580.5,7511.5,443.0,443.0,690.9,690.9
100000,1,update,4.0,3.4,115.7,128.3,0.1,0.1,106.8,119.7,82.0,106.4,37.1,22.9,4045.8,9674.5,7668.0,7579.1,443.0,443.0,690.9,690.9
100000,1,delete,4.0,3.7,48.9,104.6,0.0,0.0,37.6,93.9,80.9,98.4,15.9,13.8,4047.0,9676.2,7686.1,7594.4,443.0,443.0,690.9,690.9
100000,3,easy,45.1,44.9,1899.2,1903.0,1.4,1.4,161.4,162.9,13.8,13.9,9.9,9.7,4047.0,9671.3,7755.1,7647.6,443.0,443.0,690.9,690.9
100000,3,medium,63.6,43.7,364.1,357.3,35.4,13.3,261.4,255.1,28.2,20.3,26.4,26.5,4060.6,8501.3,7785.7,7701.0,443.0,443.0,690.9,690.9
100000,3,complex,80.2,65.9,273.0,312.2,49.5,32.6,214.0,248.0,48.8,35.4,19.7,19.2,4046.6,8107.5,7792.6,7710.7,443.0,443.0,690.9,690.9
