users,concurrency,query_no,duration_ms_postgres_normal,duration_ms_postgres_optimized,duration_ms_neo4j_normal,duration_ms_neo4j_optimized,server_ms_postgres_normal,server_ms_postgres_optimized,server_ms_neo4j_normal,server_ms_neo4j_optimized,avg_cpu_postgres_normal,avg_cpu_postgres_optimized,avg_cpu_neo4j_normal,avg_cpu_neo4j_optimized,avg_mem_postgres_normal,avg_mem_postgres_optimized,avg_mem_neo4j_normal,avg_mem_neo4j_optimized,disk_mb_postgres_normal,disk_mb_postgres_optimized,disk_mb_neo4j_normal,disk_mb_neo4j_optimized
1000,1,1,34.8,34.9,1989.0,1925.2,3.9,4.0,571.4,510.3,19.5,25.9,3.6,3.3,2462.0,6368.5,4305.2,4471.9,443.0,443.0,690.9,690.9
1000,1,2,1.0,1.0,10.1,9.9,0.1,0.1,0.6,0.6,278.9,410.2,35.8,35.3,2462.4,6370.0,4805.9,4804.4,443.0,443.0,690.9,690.9
1000,1,3,1.8,1.8,24.8,24.4,0.3,0.3,3.5,3.1,151.4,160.4,15.5,15.4,2463.8,6370.3,4813.9,4814.0,443.0,443.0,690.9,690.9
1000,1,4,3.5,3.3,561.2,634.2,0.5,0.5,472.1,546.3,82.5,109.9,15.2,14.7,2464.2,6374.8,7281.7,7261.3,443.0,443.0,690.9,690.9
1000,1,5,17.3,18.3,10.3,10.1,16.2,17.1,1.8,1.7,23.0,22.0,40.1,43.0,2465.6,6377.2,7309.5,7293.7,443.0,443.0,690.9,690.9
1000,1,6,1.0,1.0,9.6,10.1,0.1,0.1,0.6,0.9,365.7,267.8,34.6,50.8,2476.3,6377.2,7310.7,7297.8,443.0,443.0,690.9,690.9
1000,1,7,4.1,2.2,33.6,33.8,3.2,0.8,6.0,6.1,70.6,126.1,12.6,11.8,2477.1,6377.3,7318.7,7303.9,443.0,443.0,690.9,690.9
1000,1,8,2.0,2.1,5.7,5.5,1.0,1.1,1.0,1.0,136.8,129.3,68.7,68.1,2477.2,6377.4,7321.8,7306.0,443.0,443.0,690.9,690.9
1000,1,9,1.5,1.6,10.5,10.2,0.6,0.6,2.5,2.3,177.8,172.9,43.3,38.8,2477.2,6377.5,7325.5,7309.9,443.0,443.0,690.9,690.9
1000,1,10,3.1,2.6,8.5,8.1,2.7,1.7,4.4,4.3,91.1,108.0,53.1,46.7,2477.4,6378.2,7330.9,7313.3,443.0,443.0,690.9,690.9
1000,1,11,4.7,4.6,25.1,21.7,4.5,4.5,19.8,16.3,63.9,64.1,19.9,21.3,2477.5,6378.4,7335.3,7316.9,443.0,443.0,690.9,690.9
1000,1,12,3.1,2.5,7.8,10.8,2.7,1.7,4.0,6.9,90.7,109.3,61.1,40.8,2477.5,6378.3,7338.3,7319.7,443.0,443.0,690.9,690.9
1000,1,13,2.3,4.2,12.9,12.9,0.3,0.2,1.0,1.0,137.8,73.1,33.9,33.3,2477.5,6378.5,7352.1,7330.5,443.0,443.0,690.9,690.9
1000,1,14,3.2,4.4,13.8,13.3,0.1,0.1,1.0,1.1,130.0,75.6,29.6,30.9,2477.5,5883.6,7351.6,7330.7,443.0,443.0,690.9,690.9
1000,1,15,3.3,3.8,12.1,12.5,0.1,0.1,0.9,1.1,124.2,84.3,34.7,30.9,2220.2,5366.6,7352.5,7335.4,443.0,443.0,690.9,690.9
1000,1,16,3.0,4.3,15.2,15.5,0.1,0.1,3.6,4.5,136.5,73.2,28.7,26.5,2135.6,5366.7,7353.6,7336.7,443.0,443.0,690.9,690.9
1000,1,17,2.7,3.8,460.9,453.1,0.1,0.1,449.8,441.6,134.3,88.3,8.9,8.9,2141.7,5374.8,7355.8,7339.5,443.0,443.0,690.9,690.9
1000,1,18,2.8,3.8,4.4,4.4,0.1,0.1,0.3,0.5,126.9,87.5,90.5,94.7,2147.7,5387.8,7355.8,7340.0,443.0,443.0,690.9,690.9
1000,1,19,2.6,3.5,10.9,11.5,0.1,0.1,0.9,1.0,135.8,90.8,36.2,31.2,2153.9,5399.9,7356.2,7339.5,443.0,443.0,690.9,690.9
1000,1,20,2.6,4.1,11.8,11.1,0.1,0.1,0.4,0.4,132.3,85.2,34.8,31.5,2160.0,5412.8,7356.9,7343.7,443.0,443.0,690.9,690.9
1000,1,21,2.2,3.9,10.9,11.2,0.0,0.0,0.7,0.5,137.9,84.4,36.0,34.2,2165.9,5425.1,7358.2,7340.8,443.0,443.0,690.9,690.9
1000,1,22,2.5,3.8,11.1,10.6,0.1,0.1,0.6,0.4,133.0,84.9,36.0,44.0,2172.2,5437.7,7359.0,7343.4,443.0,443.0,690.9,690.9
1000,1,23,2.4,3.5,12.7,11.3,0.0,0.0,0.7,0.9,136.7,86.4,29.9,32.1,2178.0,5450.7,7362.8,7344.8,443.0,443.0,690.9,690.9
1000,1,24,2.8,3.6,12.1,12.5,0.0,0.0,1.6,2.5,127.2,88.3,30.7,29.5,2184.2,5462.8,7364.3,7345.6,443.0,443.0,690.9,690.9
1000,3,1,86.3,85.4,5714.9,5605.5,4.0,4.0,580.3,489.5,10.4,10.8,3.8,3.3,2189.7,5475.3,7392.9,7370.6,443.0,443.0,690.9,690.9
1000,3,2,23.0,23.2,23.5,23.3,0.1,0.1,0.4,0.3,15.9,16.2,14.6,16.0,2195.7,5487.9,7396.5,7373.0,443.0,443.0,690.9,690.9
1000,3,3,24.7,24.7,81.6,80.5,0.2,0.2,3.1,3.3,15.6,15.8,6.3,6.4,2201.8,5501.3,7396.1,7373.1,443.0,443.0,690.9,690.9
1000,3,4,26.8,26.3,999.1,934.2,0.5,0.5,716.6,651.7,15.3,15.8,33.3,31.5,2207.8,5513.8,7425.9,7422.8,443.0,443.0,690.9,690.9
1000,3,5,52.7,59.8,4.6,3.8,16.2,17.1,1.2,1.2,20.4,21.1,98.9,95.8,2214.1,5527.4,7427.5,7425.4,443.0,443.0,690.9,690.9
1000,3,6,23.0,23.5,21.9,22.3,0.1,0.1,0.3,0.6,15.8,16.2,15.1,15.5,2198.3,5470.8,7427.1,7425.9,443.0,443.0,690.9,690.9
1000,3,7,28.2,25.2,98.4,100.4,3.2,0.8,4.9,7.9,16.3,17.0,5.3,6.3,2140.4,5379.6,7428.6,7433.2,443.0,443.0,690.9,690.9
1000,3,8,26.8,26.8,6.4,6.5,0.9,1.0,0.7,0.6,16.4,17.5,51.3,52.0,2146.5,5398.4,7428.6,7431.8,443.0,443.0,690.9,690.9
1000,3,9,24.5,24.4,22.9,21.5,0.6,0.6,4.0,3.7,16.0,16.7,20.0,21.0,2152.6,5417.5,7433.7,7434.4,443.0,443.0,690.9,690.9
