variant,users,volume_mb
pg_normal,1000,1710.7
pg_optimized,1000,10164.1
neo_normal,1000,1189.4
neo_optimized,1000,1157.3
pg_normal,10000,1801.7
pg_optimized,10000,10212.1
neo_normal,10000,1253.8
neo_optimized,10000,1253.6
pg_normal,100000,3077.1
pg_optimized,100000,10653.6
neo_normal,100000,1706.3
neo_optimized,100000,1479.5
pg_normal,1000,1710.8
pg_optimized,1000,10164.1
neo_normal,1000,1189.4
neo_optimized,1000,1157.3
pg_normal,10000,1801.7
pg_optimized,10000,10212.0
neo_normal,10000,1253.8
neo_optimized,10000,1253.6
pg_normal,100000,3076.9
pg_optimized,100000,10652.7
neo_normal,100000,1706.3
neo_optimized,100000,1479.5
pg_normal,1000,1710.8
pg_optimized,1000,10164.0
neo_normal,1000,1189.4
neo_optimized,1000,1157.3
pg_normal,10000,1801.8
pg_optimized,10000,10212.2
neo_normal,10000,1253.8
neo_optimized,10000,1253.6
pg_normal,100000,3076.7
pg_optimized,100000,10654.1
neo_normal,100000,1706.3
neo_optimized,100000,1479.5
pg_normal,1000,1727.7
pg_optimized,1000,10164.0
neo_normal,1000,1189.4
neo_optimized,1000,1157.3
pg_normal,10000,1801.7
pg_optimized,10000,10211.8
neo_normal,10000,1253.8
neo_optimized,10000,1253.6
pg_normal,100000,3076.2
pg_optimized,100000,10650.9
neo_normal,100000,1706.3
neo_optimized,100000,1479.5
pg_normal,1000,1710.8
pg_optimized,1000,10164.4
neo_normal,1000,1189.4
neo_optimized,1000,1157.3
pg_normal,10000,1801.7
pg_optimized,10000,10212.3
neo_normal,10000,1253.8
neo_optimized,10000,1253.6
pg_normal,100000,3076.7
pg_optimized,100000,10654.0
neo_normal,100000,1706.3
neo_optimized,100000,1479.5
